date,iso,province,city,place_type,cases,deaths
2020-04-26,EC-P,Pichincha,,province,1634,52
2020-04-27,EC-P,Pichincha,,province,1634,52
2020-04-28,EC-P,Pichincha,,province,1634,52
2020-04-29,EC-P,Pichincha,,province,1351,66
2020-04-30,EC-P,Pichincha,,province,1351,66
2020-05-01,EC-P,Pichincha,,province,1507,75
2020-05-02,EC-P,Pichincha,,province,1593,88
2020-05-03,EC-P,Pichincha,,province,1698,91
2020-05-04,EC-P,Pichincha,,province,1698,91
2020-05-05,EC-P,Pichincha,,province,1698,91
2020-05-06,EC-P,Pichincha,,province,1698,91
2020-05-07,EC-P,Pichincha,,province,1956,93
2020-05-08,EC-P,Pichincha,,province,1956,93
2020-05-09,EC-P,Pichincha,,province,1956,93
2020-05-10,EC-P,Pichincha,,province,1956,93
2020-05-11,EC-P,Pichincha,,province,2071,106
2020-05-12,EC-P,Pichincha,,province,2336,114
2020-05-13,EC-P,Pichincha,,province,2336,114
2020-05-14,EC-P,Pichincha,,province,2336,114
2020-05-15,EC-P,Pichincha,,province,2336,114
2020-05-16,EC-P,Pichincha,,province,2520,209
2020-05-17,EC-P,Pichincha,,province,2520,209
2020-05-18,EC-P,Pichincha,,province,2520,209
2020-05-19,EC-P,Pichincha,,province,2840,220
2020-05-20,EC-P,Pichincha,,province,2840,220
2020-05-21,EC-P,Pichincha,,province,2952,227
2020-05-22,EC-P,Pichincha,,province,3201,240
2020-05-23,EC-P,Pichincha,,province,3201,240
2020-05-24,EC-P,Pichincha,,province,3201,240
2020-05-25,EC-P,Pichincha,,province,3405,256
2020-05-26,EC-P,Pichincha,,province,3405,256
2020-05-27,EC-P,Pichincha,,province,3405,256
2020-05-28,EC-P,Pichincha,,province,3405,256
2020-05-29,EC-P,Pichincha,,province,3911,300
2020-05-30,EC-P,Pichincha,,province,3911,300
2020-05-31,EC-P,Pichincha,,province,3911,300
2020-06-01,EC-P,Pichincha,,province,3911,300
2020-06-02,EC-P,Pichincha,,province,3911,300
2020-06-03,EC-P,Pichincha,,province,4166,319
2020-06-04,EC-P,Pichincha,,province,4166,319
2020-06-05,EC-P,Pichincha,,province,4166,319
2020-06-06,EC-P,Pichincha,,province,4166,319
2020-06-07,EC-P,Pichincha,,province,4166,319
2020-06-08,EC-P,Pichincha,,province,4166,319
2020-06-09,EC-P,Pichincha,,province,4166,319
2020-06-10,EC-P,Pichincha,,province,4166,319
2020-06-11,EC-P,Pichincha,,province,4898,348
2020-06-12,EC-P,Pichincha,,province,4898,348
2020-06-13,EC-P,Pichincha,,province,4898,348
2020-06-14,EC-P,Pichincha,,province,4898,348
2020-06-15,EC-P,Pichincha,,province,4898,348
2020-06-16,EC-P,Pichincha,,province,4898,348
2020-06-17,EC-P,Pichincha,,province,4898,348
2020-06-18,EC-P,Pichincha,,province,4898,348
2020-06-19,EC-P,Pichincha,,province,4898,348
2020-06-20,EC-P,Pichincha,,province,4898,348
2020-06-21,EC-P,Pichincha,,province,4898,348
2020-06-22,EC-P,Pichincha,,province,4898,348
2020-06-23,EC-P,Pichincha,,province,4898,348
2020-06-24,EC-P,Pichincha,,province,4898,348
2020-06-25,EC-P,Pichincha,,province,4898,348
2020-06-26,EC-P,Pichincha,,province,4898,348
2020-06-27,EC-P,Pichincha,,province,4898,348
2020-06-28,EC-P,Pichincha,,province,4898,348
2020-06-29,EC-P,Pichincha,,province,4898,348
2020-06-30,EC-P,Pichincha,,province,4898,348
2020-07-01,EC-P,Pichincha,,province,7931,510
2020-07-02,EC-P,Pichincha,,province,7931,510
2020-07-03,EC-P,Pichincha,,province,8574,532
2020-07-04,EC-P,Pichincha,,province,8574,532
2020-07-05,EC-P,Pichincha,,province,8574,532
2020-07-06,EC-P,Pichincha,,province,8574,532
2020-07-07,EC-P,Pichincha,,province,8574,532
2020-07-08,EC-P,Pichincha,,province,8574,532
2020-07-09,EC-P,Pichincha,,province,8574,532
2020-07-10,EC-P,Pichincha,,province,8574,532
2020-07-11,EC-P,Pichincha,,province,8574,532
2020-07-12,EC-P,Pichincha,,province,8574,532
2020-07-13,EC-P,Pichincha,,province,10681,583
2020-07-14,EC-P,Pichincha,,province,10681,583
2020-07-15,EC-P,Pichincha,,province,10920,585
2020-07-16,EC-P,Pichincha,,province,10920,585
2020-07-17,EC-P,Pichincha,,province,10920,585
2020-07-18,EC-P,Pichincha,,province,10920,585
2020-07-19,EC-P,Pichincha,,province,10920,585
2020-07-20,EC-P,Pichincha,,province,12089,636
2020-07-21,EC-P,Pichincha,,province,12704,639
2020-07-22,EC-P,Pichincha,,province,12956,648
2020-07-23,EC-P,Pichincha,,province,13159,653
2020-07-24,EC-P,Pichincha,,province,13159,653
2020-07-25,EC-P,Pichincha,,province,13449,657
2020-07-26,EC-P,Pichincha,,province,13449,657
2020-07-27,EC-P,Pichincha,,province,13925,676
2020-07-28,EC-P,Pichincha,,province,13925,676
2020-07-29,EC-P,Pichincha,,province,14139,683
2020-07-30,EC-P,Pichincha,,province,14139,683
2020-07-31,EC-P,Pichincha,,province,14655,704
2020-08-01,EC-P,Pichincha,,province,14813,718
2020-08-02,EC-P,Pichincha,,province,14813,718
2020-08-03,EC-P,Pichincha,,province,14813,718
2020-08-04,EC-P,Pichincha,,province,14813,718
2020-08-05,EC-P,Pichincha,,province,14813,718
2020-08-06,EC-P,Pichincha,,province,14813,718
2020-08-07,EC-P,Pichincha,,province,14813,718
2020-08-08,EC-P,Pichincha,,province,14813,718
2020-08-09,EC-P,Pichincha,,province,14813,718
2020-08-10,EC-P,Pichincha,,province,14813,718
2020-08-11,EC-P,Pichincha,,province,18275,773
2020-08-12,EC-P,Pichincha,,province,18275,773
2020-08-13,EC-P,Pichincha,,province,18275,773
2020-08-14,EC-P,Pichincha,,province,18275,773
2020-08-15,EC-P,Pichincha,,province,18275,773
2020-08-16,EC-P,Pichincha,,province,18275,773
2020-08-17,EC-P,Pichincha,,province,18275,773
2020-08-18,EC-P,Pichincha,,province,18275,773
2020-08-19,EC-P,Pichincha,,province,18275,773
2020-08-20,EC-P,Pichincha,,province,18275,773
2020-08-21,EC-P,Pichincha,,province,18275,773
2020-08-22,EC-P,Pichincha,,province,18275,773
2020-08-23,EC-P,Pichincha,,province,18275,773
2020-08-24,EC-P,Pichincha,,province,18275,773
2020-08-25,EC-P,Pichincha,,province,18275,773
2020-08-26,EC-P,Pichincha,,province,23083,896
2020-08-27,EC-P,Pichincha,,province,23083,896
2020-08-28,EC-P,Pichincha,,province,23083,896
2020-08-29,EC-P,Pichincha,,province,23083,896
2020-08-30,EC-P,Pichincha,,province,23083,896
2020-08-31,EC-P,Pichincha,,province,23083,896
2020-09-01,EC-P,Pichincha,,province,23083,896
2020-09-02,EC-P,Pichincha,,province,23083,896
2020-09-03,EC-P,Pichincha,,province,23083,896
2020-09-04,EC-P,Pichincha,,province,24705,947
2020-09-05,EC-P,Pichincha,,province,24705,947
2020-09-06,EC-P,Pichincha,,province,24705,947
2020-09-07,EC-P,Pichincha,,province,24705,947
2020-09-08,EC-P,Pichincha,,province,24705,947
2020-09-09,EC-P,Pichincha,,province,24705,947
2020-09-10,EC-P,Pichincha,,province,24705,947
2020-09-11,EC-P,Pichincha,,province,24705,947
2020-09-12,EC-P,Pichincha,,province,24705,947
2020-09-16,EC-P,Pichincha,,province,29410,1480
2020-09-17,EC-P,Pichincha,,province,29410,1480
2020-09-18,EC-P,Pichincha,,province,29410,1480
2020-09-19,EC-P,Pichincha,,province,29410,1480
2020-09-20,EC-P,Pichincha,,province,29410,1480
2020-09-21,EC-P,Pichincha,,province,33605,1547
2020-09-22,EC-P,Pichincha,,province,33605,1547
2020-09-23,EC-P,Pichincha,,province,33605,1547
2020-09-24,EC-P,Pichincha,,province,33605,1547
2020-09-27,EC-P,Pichincha,,province,33605,1547
2020-09-28,EC-P,Pichincha,,province,33605,1547
2020-09-29,EC-P,Pichincha,,province,33605,1547
2020-09-30,EC-P,Pichincha,,province,33605,1547
2020-10-01,EC-P,Pichincha,,province,33605,1547
2020-10-02,EC-P,Pichincha,,province,33605,1547
2020-10-03,EC-P,Pichincha,,province,33605,1547
2020-10-04,EC-P,Pichincha,,province,33605,1547
2020-10-05,EC-P,Pichincha,,province,33605,1547
2020-10-06,EC-P,Pichincha,,province,33605,1547
2020-10-07,EC-P,Pichincha,,province,33605,1547
2020-10-08,EC-P,Pichincha,,province,33605,1547
2020-10-09,EC-P,Pichincha,,province,33605,1547
2020-10-10,EC-P,Pichincha,,province,33605,1547
2020-10-11,EC-P,Pichincha,,province,33605,1547
2020-10-12,EC-P,Pichincha,,province,33605,1547
2020-10-13,EC-P,Pichincha,,province,33605,1547
2020-10-14,EC-P,Pichincha,,province,33605,1547
2020-10-15,EC-P,Pichincha,,province,33605,1547
2020-10-16,EC-P,Pichincha,,province,33605,1547
2020-10-17,EC-P,Pichincha,,province,33605,1547
2020-10-18,EC-P,Pichincha,,province,33605,1547
2020-10-19,EC-P,Pichincha,,province,33605,1547
2020-10-20,EC-P,Pichincha,,province,33605,1547
2020-10-21,EC-P,Pichincha,,province,33605,1547
2020-10-22,EC-P,Pichincha,,province,33605,1547
2020-10-23,EC-P,Pichincha,,province,52314,1988
2020-10-24,EC-P,Pichincha,,province,52314,1988
2020-10-25,EC-P,Pichincha,,province,52314,1988
2020-10-26,EC-P,Pichincha,,province,52314,1988
2020-10-27,EC-P,Pichincha,,province,52314,1988
2020-10-28,EC-P,Pichincha,,province,52314,1988
2020-10-29,EC-P,Pichincha,,province,52314,1988
2020-10-30,EC-P,Pichincha,,province,52314,1988
2020-10-31,EC-P,Pichincha,,province,52314,1988
2020-11-01,EC-P,Pichincha,,province,52314,1988
2020-11-02,EC-P,Pichincha,,province,52314,1988
2020-11-03,EC-P,Pichincha,,province,52314,1988
2020-11-04,EC-P,Pichincha,,province,52314,1988
2020-11-05,EC-P,Pichincha,,province,52314,1988
2020-11-06,EC-P,Pichincha,,province,52314,1988
2020-11-07,EC-P,Pichincha,,province,52314,1988
2020-11-08,EC-P,Pichincha,,province,52314,1988
2020-11-09,EC-P,Pichincha,,province,52314,1988
2020-11-10,EC-P,Pichincha,,province,62036,2074
2020-11-11,EC-P,Pichincha,,province,62036,2074
2020-11-12,EC-P,Pichincha,,province,62036,2074
2020-11-13,EC-P,Pichincha,,province,62036,2074
2020-11-14,EC-P,Pichincha,,province,62036,2074
2020-11-15,EC-P,Pichincha,,province,62036,2074
2020-11-16,EC-P,Pichincha,,province,62036,2074
2020-11-17,EC-P,Pichincha,,province,62036,2074
2020-11-18,EC-P,Pichincha,,province,62036,2074
2020-11-19,EC-P,Pichincha,,province,65273,2113
2020-11-20,EC-P,Pichincha,,province,65273,2113
2020-11-21,EC-P,Pichincha,,province,65273,2113
2020-11-22,EC-P,Pichincha,,province,65273,2113
2020-11-23,EC-P,Pichincha,,province,66990,2113
2020-11-24,EC-P,Pichincha,,province,66990,2113
2020-11-25,EC-P,Pichincha,,province,66990,2113
2020-11-26,EC-P,Pichincha,,province,66990,2113
2020-11-27,EC-P,Pichincha,,province,66990,2113
2020-11-28,EC-P,Pichincha,,province,66990,2113
2020-11-29,EC-P,Pichincha,,province,66990,2113
2020-11-30,EC-P,Pichincha,,province,66990,2113
2020-12-01,EC-P,Pichincha,,province,66990,2113
2020-12-02,EC-P,Pichincha,,province,66990,2113
2020-12-03,EC-P,Pichincha,,province,70514,2254
2020-12-04,EC-P,Pichincha,,province,70514,2254
2020-12-05,EC-P,Pichincha,,province,70514,2254
2020-12-06,EC-P,Pichincha,,province,70514,2254
2020-12-07,EC-P,Pichincha,,province,70514,2254
2020-12-08,EC-P,Pichincha,,province,70514,2254
2020-12-09,EC-P,Pichincha,,province,70514,2254
2020-12-10,EC-P,Pichincha,,province,70514,2254
2020-12-11,EC-P,Pichincha,,province,70514,2254
2020-12-12,EC-P,Pichincha,,province,70514,2254
2020-12-13,EC-P,Pichincha,,province,70514,2254
2020-12-14,EC-P,Pichincha,,province,70514,2254
2020-12-15,EC-P,Pichincha,,province,70514,2254
2020-12-16,EC-P,Pichincha,,province,70514,2254
2020-12-17,EC-P,Pichincha,,province,70514,2254
2020-12-18,EC-P,Pichincha,,province,70514,2254
2020-12-19,EC-P,Pichincha,,province,73503,2293
2020-12-20,EC-P,Pichincha,,province,73503,2293
2020-12-21,EC-P,Pichincha,,province,73503,2293
2020-12-22,EC-P,Pichincha,,province,73503,2293
2020-12-23,EC-P,Pichincha,,province,73503,2293
2020-12-24,EC-P,Pichincha,,province,73503,2293
2020-12-25,EC-P,Pichincha,,province,73503,2293
2020-12-26,EC-P,Pichincha,,province,73503,2293
2020-12-27,EC-P,Pichincha,,province,73503,2293
2021-01-07,EC-P,Pichincha,,province,76996,2309
2021-01-08,EC-P,Pichincha,,province,76996,2309
2021-01-09,EC-P,Pichincha,,province,76996,2309
2021-01-10,EC-P,Pichincha,,province,76996,2309
2021-01-11,EC-P,Pichincha,,province,76996,2309
2021-01-12,EC-P,Pichincha,,province,76996,2309
2021-01-13,EC-P,Pichincha,,province,76996,2309
2021-01-14,EC-P,Pichincha,,province,76996,2309
2021-01-15,EC-P,Pichincha,,province,76996,2309
2021-01-16,EC-P,Pichincha,,province,76996,2309
2021-01-17,EC-P,Pichincha,,province,76996,2309
2021-01-18,EC-P,Pichincha,,province,76996,2309
2021-01-19,EC-P,Pichincha,,province,76996,2309
2021-01-20,EC-P,Pichincha,,province,76996,2309
2021-01-21,EC-P,Pichincha,,province,76996,2309
2021-01-22,EC-P,Pichincha,,province,76996,2309
2021-01-23,EC-P,Pichincha,,province,76996,2309
2021-01-24,EC-P,Pichincha,,province,76996,2309
2021-01-25,EC-P,Pichincha,,province,76996,2309
2021-01-26,EC-P,Pichincha,,province,76996,2309
2021-01-27,EC-P,Pichincha,,province,76996,2309
2021-01-28,EC-P,Pichincha,,province,76996,2309
2021-01-29,EC-P,Pichincha,,province,76996,2309
2021-01-30,EC-P,Pichincha,,province,76996,2309
2021-01-31,EC-P,Pichincha,,province,87656,2420
2021-02-01,EC-P,Pichincha,,province,87656,2420
2021-02-02,EC-P,Pichincha,,province,87656,2420
2021-02-03,EC-P,Pichincha,,province,87656,2420
2021-02-04,EC-P,Pichincha,,province,87656,2420
2021-02-05,EC-P,Pichincha,,province,87656,2420
2021-02-06,EC-P,Pichincha,,province,87656,2420
2021-02-07,EC-P,Pichincha,,province,87656,2420
2021-02-08,EC-P,Pichincha,,province,87656,2420
2021-02-09,EC-P,Pichincha,,province,87656,2420
2021-02-10,EC-P,Pichincha,,province,87656,2420
2021-02-11,EC-P,Pichincha,,province,87656,2420
2021-02-12,EC-P,Pichincha,,province,87656,2420
2021-02-13,EC-P,Pichincha,,province,87656,2420
2021-02-14,EC-P,Pichincha,,province,93651,2463
2021-02-15,EC-P,Pichincha,,province,93651,2463
2021-02-16,EC-P,Pichincha,,province,93651,2463
2021-02-17,EC-P,Pichincha,,province,93651,2463
2021-02-18,EC-P,Pichincha,,province,93651,2463
2021-02-19,EC-P,Pichincha,,province,93651,2463
2021-02-20,EC-P,Pichincha,,province,93651,2463
2021-02-21,EC-P,Pichincha,,province,93651,2463
2021-02-22,EC-P,Pichincha,,province,93651,2463
2021-02-23,EC-P,Pichincha,,province,93651,2463
2021-02-24,EC-P,Pichincha,,province,93651,2463
2021-02-25,EC-P,Pichincha,,province,93651,2463
2021-02-26,EC-P,Pichincha,,province,93651,2463
2021-02-27,EC-P,Pichincha,,province,100116,2595
2021-02-28,EC-P,Pichincha,,province,100116,2595
2021-03-01,EC-P,Pichincha,,province,100116,2595
2021-03-02,EC-P,Pichincha,,province,100116,2595
2021-03-03,EC-P,Pichincha,,province,100116,2595
2021-03-04,EC-P,Pichincha,,province,100116,2595
2021-03-05,EC-P,Pichincha,,province,100116,2595
2021-03-06,EC-P,Pichincha,,province,100116,2595
2021-03-07,EC-P,Pichincha,,province,100116,2595
2021-03-08,EC-P,Pichincha,,province,100116,2595
2021-03-09,EC-P,Pichincha,,province,100116,2595
2021-03-10,EC-P,Pichincha,,province,100116,2595
2021-03-11,EC-P,Pichincha,,province,100116,2595
2021-03-12,EC-P,Pichincha,,province,100116,2595
2021-03-13,EC-P,Pichincha,,province,100116,2595
2021-03-14,EC-P,Pichincha,,province,104374,2717
2021-03-15,EC-P,Pichincha,,province,104374,2717
2021-03-16,EC-P,Pichincha,,province,104374,2717
2021-03-17,EC-P,Pichincha,,province,104374,2717
2021-03-18,EC-P,Pichincha,,province,104374,2717
2021-03-19,EC-P,Pichincha,,province,104374,2717
2021-03-20,EC-P,Pichincha,,province,104374,2717
2021-03-21,EC-P,Pichincha,,province,104374,2717
2021-03-22,EC-P,Pichincha,,province,104374,2717
2021-03-23,EC-P,Pichincha,,province,104374,2717
2021-03-24,EC-P,Pichincha,,province,104374,2717
2021-03-25,EC-P,Pichincha,,province,109757,2781
2021-03-26,EC-P,Pichincha,,province,109757,2781
2021-03-27,EC-P,Pichincha,,province,109757,2781
2021-03-28,EC-P,Pichincha,,province,109757,2781
2021-03-29,EC-P,Pichincha,,province,109757,2781
2021-03-30,EC-P,Pichincha,,province,109757,2781
2021-03-31,EC-P,Pichincha,,province,109757,2781
2021-04-01,EC-P,Pichincha,,province,109757,2781
2021-04-02,EC-P,Pichincha,,province,109757,2781
2021-04-03,EC-P,Pichincha,,province,109757,2781
2021-04-04,EC-P,Pichincha,,province,109757,2781
2021-04-05,EC-P,Pichincha,,province,109757,2781
2021-04-06,EC-P,Pichincha,,province,109757,2781
2021-04-07,EC-P,Pichincha,,province,109757,2781
2021-04-08,EC-P,Pichincha,,province,109757,2781
2021-04-09,EC-P,Pichincha,,province,109757,12781
2021-04-10,EC-P,Pichincha,,province,109757,12781
2021-04-11,EC-P,Pichincha,,province,119900,2913
2021-04-12,EC-P,Pichincha,,province,119900,2913
2021-04-13,EC-P,Pichincha,,province,119900,2913
2021-04-14,EC-P,Pichincha,,province,119900,2913
2021-04-15,EC-P,Pichincha,,province,119900,2913
2021-04-16,EC-P,Pichincha,,province,119900,2913
2021-04-17,EC-P,Pichincha,,province,119900,2913
2021-04-18,EC-P,Pichincha,,province,119900,2913
2021-04-19,EC-P,Pichincha,,province,119900,2913
2021-04-20,EC-P,Pichincha,,province,119900,2913
2021-04-21,EC-P,Pichincha,,province,119900,2913
2021-04-22,EC-P,Pichincha,,province,119900,2913
2021-04-23,EC-P,Pichincha,,province,119900,2913
2021-04-24,EC-P,Pichincha,,province,119900,2913
2021-04-25,EC-P,Pichincha,,province,119900,2913
2021-04-26,EC-P,Pichincha,,province,119900,2913
2021-04-27,EC-P,Pichincha,,province,119900,2913
2021-04-28,EC-P,Pichincha,,province,119900,2913
2021-04-29,EC-P,Pichincha,,province,119900,2913
2021-04-30,EC-P,Pichincha,,province,119900,2913
2021-05-01,EC-P,Pichincha,,province,119900,2913
2021-05-02,EC-P,Pichincha,,province,119900,2913
2021-05-03,EC-P,Pichincha,,province,119900,2913
2021-05-04,EC-P,Pichincha,,province,119900,2913
2021-05-05,EC-P,Pichincha,,province,119900,2913
2021-05-06,EC-P,Pichincha,,province,119900,2913
2021-05-07,EC-P,Pichincha,,province,119900,2913
2021-05-08,EC-P,Pichincha,,province,119900,2913
2021-05-09,EC-P,Pichincha,,province,119900,2913
2021-05-10,EC-P,Pichincha,,province,119900,2913
2021-05-11,EC-P,Pichincha,,province,119900,2913
2021-05-12,EC-P,Pichincha,,province,119900,2913
2021-05-13,EC-P,Pichincha,,province,119900,2913
2021-05-14,EC-P,Pichincha,,province,119900,2913
2021-05-15,EC-P,Pichincha,,province,119900,2913
2021-05-16,EC-P,Pichincha,,province,145035,3227
2021-05-17,EC-P,Pichincha,,province,145035,3227
2021-05-18,EC-P,Pichincha,,province,145035,3227
2021-05-19,EC-P,Pichincha,,province,145035,3227
2021-05-20,EC-P,Pichincha,,province,145035,3227
2021-05-21,EC-P,Pichincha,,province,145035,3227
2021-05-22,EC-P,Pichincha,,province,145035,3227
2021-05-23,EC-P,Pichincha,,province,145035,3227
2021-05-24,EC-P,Pichincha,,province,145035,3227
2021-05-25,EC-P,Pichincha,,province,145035,3227
2021-05-26,EC-P,Pichincha,,province,145035,3227
2021-05-27,EC-P,Pichincha,,province,145035,3227
2021-05-28,EC-P,Pichincha,,province,145035,3227
2021-05-29,EC-P,Pichincha,,province,145035,3227
2021-05-30,EC-P,Pichincha,,province,145035,3227
2021-05-31,EC-P,Pichincha,,province,145035,3227
2021-06-01,EC-P,Pichincha,,province,145035,3227
2021-06-02,EC-P,Pichincha,,province,145035,3227
2021-06-03,EC-P,Pichincha,,province,145035,3227
2021-06-04,EC-P,Pichincha,,province,153362,3435
2021-06-05,EC-P,Pichincha,,province,153362,3435
2021-06-06,EC-P,Pichincha,,province,153362,3435
2021-06-07,EC-P,Pichincha,,province,153362,3435
2021-06-08,EC-P,Pichincha,,province,153362,3435
2021-06-09,EC-P,Pichincha,,province,153362,3435
2021-06-10,EC-P,Pichincha,,province,153362,3435
2021-06-11,EC-P,Pichincha,,province,153362,3435
2021-06-12,EC-P,Pichincha,,province,153362,3435
2021-06-13,EC-P,Pichincha,,province,153362,3435
2021-06-14,EC-P,Pichincha,,province,153362,3435
2021-06-15,EC-P,Pichincha,,province,153362,3435
2021-06-16,EC-P,Pichincha,,province,153362,3435
2021-06-17,EC-P,Pichincha,,province,153362,3435
2021-06-18,EC-P,Pichincha,,province,153362,3435
2021-06-19,EC-P,Pichincha,,province,153362,3435
2021-06-20,EC-P,Pichincha,,province,153362,3435
2021-06-21,EC-P,Pichincha,,province,153362,3435
2021-06-22,EC-P,Pichincha,,province,153362,3435
2021-06-23,EC-P,Pichincha,,province,153362,3435
2021-06-24,EC-P,Pichincha,,province,153362,3435
2021-06-25,EC-P,Pichincha,,province,153362,3435
2021-06-26,EC-P,Pichincha,,province,153362,3435
2021-06-27,EC-P,Pichincha,,province,153362,3435
2021-06-28,EC-P,Pichincha,,province,153362,3435
2021-06-29,EC-P,Pichincha,,province,153362,3435
2021-06-30,EC-P,Pichincha,,province,153362,3435
2021-07-01,EC-P,Pichincha,,province,153362,3435
2021-07-02,EC-P,Pichincha,,province,153362,3435
2021-07-03,EC-P,Pichincha,,province,153362,3435
2021-07-04,EC-P,Pichincha,,province,153362,3435
2021-07-05,EC-P,Pichincha,,province,153362,3435
2021-07-06,EC-P,Pichincha,,province,153362,3435
2021-07-07,EC-P,Pichincha,,province,153362,3435
2021-07-08,EC-P,Pichincha,,province,153362,3435
2021-07-09,EC-P,Pichincha,,province,153362,3435
2021-07-10,EC-P,Pichincha,,province,153362,3435
2021-07-11,EC-P,Pichincha,,province,153362,3435
2021-07-12,EC-P,Pichincha,,province,153362,3435
2021-07-13,EC-P,Pichincha,,province,153362,3435
2021-07-14,EC-P,Pichincha,,province,153362,3435
2021-07-15,EC-P,Pichincha,,province,153362,3435
2021-07-16,EC-P,Pichincha,,province,153362,3435
2021-07-17,EC-P,Pichincha,,province,153362,3435
2021-07-18,EC-P,Pichincha,,province,153362,3435
2021-07-19,EC-P,Pichincha,,province,153362,3435
2021-07-20,EC-P,Pichincha,,province,153362,3435
2021-07-21,EC-P,Pichincha,,province,153362,3435
2021-07-22,EC-P,Pichincha,,province,153362,3435
2021-07-23,EC-P,Pichincha,,province,153362,3435
2021-07-24,EC-P,Pichincha,,province,153362,3435
2021-07-25,EC-P,Pichincha,,province,153362,3435
2021-07-26,EC-P,Pichincha,,province,153362,3435
2021-07-27,EC-P,Pichincha,,province,153362,3435
2021-07-28,EC-P,Pichincha,,province,153362,3435
2021-07-29,EC-P,Pichincha,,province,153362,3435
2021-07-30,EC-P,Pichincha,,province,153362,3435
2021-07-31,EC-P,Pichincha,,province,153362,3435
2021-08-01,EC-P,Pichincha,,province,153362,3435
2021-08-02,EC-P,Pichincha,,province,153362,3435
2021-08-03,EC-P,Pichincha,,province,153362,3435
2021-08-04,EC-P,Pichincha,,province,153362,3435
2021-08-05,EC-P,Pichincha,,province,153362,3435
2021-08-06,EC-P,Pichincha,,province,153362,3435
2021-08-07,EC-P,Pichincha,,province,153362,3435
2021-08-08,EC-P,Pichincha,,province,153362,3435
2021-08-09,EC-P,Pichincha,,province,153362,3435
2021-08-10,EC-P,Pichincha,,province,153362,3435
2021-08-11,EC-P,Pichincha,,province,153362,3435
2021-08-12,EC-P,Pichincha,,province,153362,3435
2021-08-13,EC-P,Pichincha,,province,153362,3435
2021-08-14,EC-P,Pichincha,,province,153362,3435
2021-08-15,EC-P,Pichincha,,province,153362,3435
2021-08-16,EC-P,Pichincha,,province,153362,3435
2021-08-17,EC-P,Pichincha,,province,153362,3435
2021-08-18,EC-P,Pichincha,,province,153362,3435
2021-08-19,EC-P,Pichincha,,province,153362,3435
2021-08-20,EC-P,Pichincha,,province,153362,3435
