date,country,region,place_type,geo_code,cases,deaths
2020-04-04,Scotland,Scotland,country,S92,3345,172
2020-04-03,Scotland,Scotland,country,S92,3001,126
2020-04-02,Scotland,Scotland,country,S92,2602,76
2020-04-01,Scotland,Scotland,country,S92,2310,60
2020-03-31,Scotland,Scotland,country,S92,1993,47
2020-03-30,Scotland,Scotland,country,S92,1451,41
2020-03-29,Scotland,Scotland,country,S92,1241,40
2020-03-28,Scotland,Scotland,country,S92,1093,40
2020-03-27,Scotland,Scotland,country,S92,1059,33
2020-03-26,Scotland,Scotland,country,S92,894,25
2020-03-25,Scotland,Scotland,country,S92,719,22
2020-03-24,Scotland,Scotland,country,S92,584,16
2020-03-23,Scotland,Scotland,country,S92,499,14
2020-03-22,Scotland,Scotland,country,S92,416,10
2020-03-21,Scotland,Scotland,country,S92,373,7
2020-03-20,Scotland,Scotland,country,S92,322,6
2020-03-19,Scotland,Scotland,country,S92,266,6
2020-03-18,Scotland,Scotland,country,S92,227,3
2020-03-17,Scotland,Scotland,country,S92,195,2
2020-03-16,Scotland,Scotland,country,S92,171,1
2020-03-15,Scotland,Scotland,country,S92,153,1
2020-03-14,Scotland,Scotland,country,S92,121,1
2020-03-13,Scotland,Scotland,country,S92,85,0
2020-03-12,Scotland,Scotland,country,S92,60,0
2020-03-11,Scotland,Scotland,country,S92,36,0
2020-03-10,Scotland,Scotland,country,S92,27,0
2020-03-09,Scotland,Scotland,country,S92,23,0
2020-03-08,Scotland,Scotland,country,S92,18,0
2020-03-07,Scotland,Scotland,country,S92,16,0
2020-03-06,Scotland,Scotland,country,S92,11,0
2020-03-05,Scotland,Scotland,country,S92,6,
2020-03-04,Scotland,Scotland,country,S92,3,
2020-03-03,Scotland,Scotland,country,S92,1,
2020-03-02,Scotland,Scotland,country,S92,1,
2020-03-01,Scotland,Scotland,country,S92,0,
2020-02-29,Scotland,Scotland,country,S92,0,
2020-02-28,Scotland,Scotland,country,S92,0,
2020-02-27,Scotland,Scotland,country,S92,0,
2020-02-26,Scotland,Scotland,country,S92,0,
2020-02-25,Scotland,Scotland,country,S92,0,
2020-04-04,Scotland,Ayrshire and Arran,health_board,S08000015,254,
2020-04-03,Scotland,Ayrshire and Arran,health_board,S08000015,240,
2020-04-02,Scotland,Ayrshire and Arran,health_board,S08000015,221,
2020-04-01,Scotland,Ayrshire and Arran,health_board,S08000015,199,
2020-03-31,Scotland,Ayrshire and Arran,health_board,S08000015,177,
2020-03-30,Scotland,Ayrshire and Arran,health_board,S08000015,154,
2020-03-29,Scotland,Ayrshire and Arran,health_board,S08000015,108,
2020-03-28,Scotland,Ayrshire and Arran,health_board,S08000015,90,
2020-03-27,Scotland,Ayrshire and Arran,health_board,S08000015,75,
2020-03-26,Scotland,Ayrshire and Arran,health_board,S08000015,74,
2020-03-25,Scotland,Ayrshire and Arran,health_board,S08000015,57,
2020-03-24,Scotland,Ayrshire and Arran,health_board,S08000015,41,
2020-03-23,Scotland,Ayrshire and Arran,health_board,S08000015,34,
2020-03-22,Scotland,Ayrshire and Arran,health_board,S08000015,25,
2020-03-21,Scotland,Ayrshire and Arran,health_board,S08000015,21,
2020-03-20,Scotland,Ayrshire and Arran,health_board,S08000015,16,
2020-03-19,Scotland,Ayrshire and Arran,health_board,S08000015,12,
2020-03-18,Scotland,Ayrshire and Arran,health_board,S08000015,9,
2020-03-17,Scotland,Ayrshire and Arran,health_board,S08000015,6,
2020-03-16,Scotland,Ayrshire and Arran,health_board,S08000015,7,
2020-03-15,Scotland,Ayrshire and Arran,health_board,S08000015,6,
2020-03-14,Scotland,Ayrshire and Arran,health_board,S08000015,6,
2020-03-13,Scotland,Ayrshire and Arran,health_board,S08000015,4,
2020-03-12,Scotland,Ayrshire and Arran,health_board,S08000015,4,
2020-03-11,Scotland,Ayrshire and Arran,health_board,S08000015,3,
2020-03-10,Scotland,Ayrshire and Arran,health_board,S08000015,1,
2020-03-09,Scotland,Ayrshire and Arran,health_board,S08000015,1,
2020-03-08,Scotland,Ayrshire and Arran,health_board,S08000015,1,
2020-03-07,Scotland,Ayrshire and Arran,health_board,S08000015,1,
2020-03-06,Scotland,Ayrshire and Arran,health_board,S08000015,1,
2020-03-05,Scotland,Ayrshire and Arran,health_board,S08000015,1,
2020-03-04,Scotland,Ayrshire and Arran,health_board,S08000015,1,
2020-03-03,Scotland,Ayrshire and Arran,health_board,S08000015,0,
2020-03-02,Scotland,Ayrshire and Arran,health_board,S08000015,0,
2020-03-01,Scotland,Ayrshire and Arran,health_board,S08000015,0,
2020-02-29,Scotland,Ayrshire and Arran,health_board,S08000015,0,
2020-02-28,Scotland,Ayrshire and Arran,health_board,S08000015,0,
2020-02-27,Scotland,Ayrshire and Arran,health_board,S08000015,0,
2020-02-26,Scotland,Ayrshire and Arran,health_board,S08000015,0,
2020-02-25,Scotland,Ayrshire and Arran,health_board,S08000015,0,
2020-04-04,Scotland,Borders,health_board,S08000016,110,
2020-04-03,Scotland,Borders,health_board,S08000016,100,
2020-04-02,Scotland,Borders,health_board,S08000016,93,
2020-04-01,Scotland,Borders,health_board,S08000016,87,
2020-03-31,Scotland,Borders,health_board,S08000016,77,
2020-03-30,Scotland,Borders,health_board,S08000016,63,
2020-03-29,Scotland,Borders,health_board,S08000016,50,
2020-03-28,Scotland,Borders,health_board,S08000016,35,
2020-03-27,Scotland,Borders,health_board,S08000016,28,
2020-03-26,Scotland,Borders,health_board,S08000016,23,
2020-03-25,Scotland,Borders,health_board,S08000016,15,
2020-03-24,Scotland,Borders,health_board,S08000016,12,
2020-03-23,Scotland,Borders,health_board,S08000016,12,
2020-03-22,Scotland,Borders,health_board,S08000016,11,
2020-03-21,Scotland,Borders,health_board,S08000016,10,
2020-03-20,Scotland,Borders,health_board,S08000016,9,
2020-03-19,Scotland,Borders,health_board,S08000016,8,
2020-03-18,Scotland,Borders,health_board,S08000016,7,
2020-03-17,Scotland,Borders,health_board,S08000016,7,
2020-03-16,Scotland,Borders,health_board,S08000016,7,
2020-03-15,Scotland,Borders,health_board,S08000016,7,
2020-03-14,Scotland,Borders,health_board,S08000016,5,
2020-03-13,Scotland,Borders,health_board,S08000016,3,
2020-03-12,Scotland,Borders,health_board,S08000016,2,
2020-03-11,Scotland,Borders,health_board,S08000016,2,
2020-03-10,Scotland,Borders,health_board,S08000016,0,
2020-03-09,Scotland,Borders,health_board,S08000016,0,
2020-03-08,Scotland,Borders,health_board,S08000016,0,
2020-03-07,Scotland,Borders,health_board,S08000016,0,
2020-03-06,Scotland,Borders,health_board,S08000016,0,
2020-03-05,Scotland,Borders,health_board,S08000016,0,
2020-03-04,Scotland,Borders,health_board,S08000016,0,
2020-03-03,Scotland,Borders,health_board,S08000016,0,
2020-03-02,Scotland,Borders,health_board,S08000016,0,
2020-03-01,Scotland,Borders,health_board,S08000016,0,
2020-02-29,Scotland,Borders,health_board,S08000016,0,
2020-02-28,Scotland,Borders,health_board,S08000016,0,
2020-02-27,Scotland,Borders,health_board,S08000016,0,
2020-02-26,Scotland,Borders,health_board,S08000016,0,
2020-02-25,Scotland,Borders,health_board,S08000016,0,
2020-04-04,Scotland,Dumfries and Gallow,health_board,S08000017,127,
2020-04-03,Scotland,Dumfries and Gallow,health_board,S08000017,122,
2020-04-02,Scotland,Dumfries and Gallow,health_board,S08000017,104,
2020-04-01,Scotland,Dumfries and Gallow,health_board,S08000017,100,
2020-03-31,Scotland,Dumfries and Gallow,health_board,S08000017,92,
2020-03-30,Scotland,Dumfries and Gallow,health_board,S08000017,74,
2020-03-29,Scotland,Dumfries and Gallow,health_board,S08000017,63,
2020-03-28,Scotland,Dumfries and Gallow,health_board,S08000017,60,
2020-03-27,Scotland,Dumfries and Gallow,health_board,S08000017,47,
2020-03-26,Scotland,Dumfries and Gallow,health_board,S08000017,39,
2020-03-25,Scotland,Dumfries and Gallow,health_board,S08000017,31,
2020-03-24,Scotland,Dumfries and Gallow,health_board,S08000017,26,
2020-03-23,Scotland,Dumfries and Gallow,health_board,S08000017,18,
2020-03-22,Scotland,Dumfries and Gallow,health_board,S08000017,16,
2020-03-21,Scotland,Dumfries and Gallow,health_board,S08000017,13,
2020-03-20,Scotland,Dumfries and Gallow,health_board,S08000017,10,
2020-03-19,Scotland,Dumfries and Gallow,health_board,S08000017,6,
2020-03-18,Scotland,Dumfries and Gallow,health_board,S08000017,4,
2020-03-17,Scotland,Dumfries and Gallow,health_board,S08000017,1,
2020-03-16,Scotland,Dumfries and Gallow,health_board,S08000017,1,
2020-03-15,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-03-14,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-03-13,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-03-12,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-03-11,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-03-10,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-03-09,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-03-08,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-03-07,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-03-06,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-03-05,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-03-04,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-03-03,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-03-02,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-03-01,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-02-29,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-02-28,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-02-27,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-02-26,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-02-25,Scotland,Dumfries and Gallow,health_board,S08000017,0,
2020-04-04,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,3,
2020-04-03,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,3,
2020-04-02,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,3,
2020-04-01,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,3,
2020-03-31,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-30,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-29,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-28,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-27,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-26,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-25,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-24,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-23,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-22,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-21,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-20,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-19,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-18,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-17,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-16,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-15,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-14,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-13,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-12,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-11,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-10,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-09,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-08,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-07,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-06,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-05,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-04,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-03,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-02,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-03-01,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-02-29,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-02-28,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-02-27,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-02-26,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-02-25,Scotland,Eileanan Siar (Western Isles),health_board,S08000028,0,
2020-04-04,Scotland,Fife,health_board,S08000029,173,
2020-04-03,Scotland,Fife,health_board,S08000029,147,
2020-04-02,Scotland,Fife,health_board,S08000029,119,
2020-04-01,Scotland,Fife,health_board,S08000029,96,
2020-03-31,Scotland,Fife,health_board,S08000029,76,
2020-03-30,Scotland,Fife,health_board,S08000029,70,
2020-03-29,Scotland,Fife,health_board,S08000029,58,
2020-03-28,Scotland,Fife,health_board,S08000029,51,
2020-03-27,Scotland,Fife,health_board,S08000029,41,
2020-03-26,Scotland,Fife,health_board,S08000029,40,
2020-03-25,Scotland,Fife,health_board,S08000029,29,
2020-03-24,Scotland,Fife,health_board,S08000029,25,
2020-03-23,Scotland,Fife,health_board,S08000029,19,
2020-03-22,Scotland,Fife,health_board,S08000029,16,
2020-03-21,Scotland,Fife,health_board,S08000029,13,
2020-03-20,Scotland,Fife,health_board,S08000029,12,
2020-03-19,Scotland,Fife,health_board,S08000029,9,
2020-03-18,Scotland,Fife,health_board,S08000029,8,
2020-03-17,Scotland,Fife,health_board,S08000029,7,
2020-03-16,Scotland,Fife,health_board,S08000029,7,
2020-03-15,Scotland,Fife,health_board,S08000029,7,
2020-03-14,Scotland,Fife,health_board,S08000029,6,
2020-03-13,Scotland,Fife,health_board,S08000029,4,
2020-03-12,Scotland,Fife,health_board,S08000029,3,
2020-03-11,Scotland,Fife,health_board,S08000029,2,
2020-03-10,Scotland,Fife,health_board,S08000029,2,
2020-03-09,Scotland,Fife,health_board,S08000029,2,
2020-03-08,Scotland,Fife,health_board,S08000029,2,
2020-03-07,Scotland,Fife,health_board,S08000029,2,
2020-03-06,Scotland,Fife,health_board,S08000029,2,
2020-03-05,Scotland,Fife,health_board,S08000029,0,
2020-03-04,Scotland,Fife,health_board,S08000029,0,
2020-03-03,Scotland,Fife,health_board,S08000029,0,
2020-03-02,Scotland,Fife,health_board,S08000029,0,
2020-03-01,Scotland,Fife,health_board,S08000029,0,
2020-02-29,Scotland,Fife,health_board,S08000029,0,
2020-02-28,Scotland,Fife,health_board,S08000029,0,
2020-02-27,Scotland,Fife,health_board,S08000029,0,
2020-02-26,Scotland,Fife,health_board,S08000029,0,
2020-02-25,Scotland,Fife,health_board,S08000029,0,
2020-04-04,Scotland,Forth Valley,health_board,S08000019,208,
2020-04-03,Scotland,Forth Valley,health_board,S08000019,189,
2020-04-02,Scotland,Forth Valley,health_board,S08000019,172,
2020-04-01,Scotland,Forth Valley,health_board,S08000019,146,
2020-03-31,Scotland,Forth Valley,health_board,S08000019,131,
2020-03-30,Scotland,Forth Valley,health_board,S08000019,103,
2020-03-29,Scotland,Forth Valley,health_board,S08000019,94,
2020-03-28,Scotland,Forth Valley,health_board,S08000019,95,
2020-03-27,Scotland,Forth Valley,health_board,S08000019,81,
2020-03-26,Scotland,Forth Valley,health_board,S08000019,75,
2020-03-25,Scotland,Forth Valley,health_board,S08000019,59,
2020-03-24,Scotland,Forth Valley,health_board,S08000019,43,
2020-03-23,Scotland,Forth Valley,health_board,S08000019,40,
2020-03-22,Scotland,Forth Valley,health_board,S08000019,30,
2020-03-21,Scotland,Forth Valley,health_board,S08000019,27,
2020-03-20,Scotland,Forth Valley,health_board,S08000019,23,
2020-03-19,Scotland,Forth Valley,health_board,S08000019,17,
2020-03-18,Scotland,Forth Valley,health_board,S08000019,15,
2020-03-17,Scotland,Forth Valley,health_board,S08000019,12,
2020-03-16,Scotland,Forth Valley,health_board,S08000019,10,
2020-03-15,Scotland,Forth Valley,health_board,S08000019,10,
2020-03-14,Scotland,Forth Valley,health_board,S08000019,6,
2020-03-13,Scotland,Forth Valley,health_board,S08000019,6,
2020-03-12,Scotland,Forth Valley,health_board,S08000019,6,
2020-03-11,Scotland,Forth Valley,health_board,S08000019,2,
2020-03-10,Scotland,Forth Valley,health_board,S08000019,2,
2020-03-09,Scotland,Forth Valley,health_board,S08000019,2,
2020-03-08,Scotland,Forth Valley,health_board,S08000019,2,
2020-03-07,Scotland,Forth Valley,health_board,S08000019,2,
2020-03-06,Scotland,Forth Valley,health_board,S08000019,2,
2020-03-05,Scotland,Forth Valley,health_board,S08000019,1,
2020-03-04,Scotland,Forth Valley,health_board,S08000019,0,
2020-03-03,Scotland,Forth Valley,health_board,S08000019,0,
2020-03-02,Scotland,Forth Valley,health_board,S08000019,0,
2020-03-01,Scotland,Forth Valley,health_board,S08000019,0,
2020-02-29,Scotland,Forth Valley,health_board,S08000019,0,
2020-02-28,Scotland,Forth Valley,health_board,S08000019,0,
2020-02-27,Scotland,Forth Valley,health_board,S08000019,0,
2020-02-26,Scotland,Forth Valley,health_board,S08000019,0,
2020-02-25,Scotland,Forth Valley,health_board,S08000019,0,
2020-04-04,Scotland,Grampian,health_board,S08000020,177,
2020-04-03,Scotland,Grampian,health_board,S08000020,173,
2020-04-02,Scotland,Grampian,health_board,S08000020,128,
2020-04-01,Scotland,Grampian,health_board,S08000020,108,
2020-03-31,Scotland,Grampian,health_board,S08000020,86,
2020-03-30,Scotland,Grampian,health_board,S08000020,66,
2020-03-29,Scotland,Grampian,health_board,S08000020,62,
2020-03-28,Scotland,Grampian,health_board,S08000020,52,
2020-03-27,Scotland,Grampian,health_board,S08000020,45,
2020-03-26,Scotland,Grampian,health_board,S08000020,31,
2020-03-25,Scotland,Grampian,health_board,S08000020,29,
2020-03-24,Scotland,Grampian,health_board,S08000020,24,
2020-03-23,Scotland,Grampian,health_board,S08000020,24,
